question,answer
安大附近有哪些好的刷夜的地方？,谢邀，刚毕业的老人来答。 首先我本科是电子专业的，对于电子，电气院的同学来说，笃行北楼的创新实验室绝对是刷野的不二去处，你看天天晚上灯一直亮着的笃北五楼就明白了。实际上工科院应该都有自己的一些自由实验室，这个建议自己去打听一下，如果有的话，绝对是不二选择。 对于别的院的同学来说，我这边整理出了以下去处 1.寝室楼道 拉个板凳到寝室楼道实际上是最便捷以及省事的，记得以前做挑战杯的时候经常在楼道商量到临晨两三点，累了直接回寝室上床，没毛病。 2.中环城的KFC 这个之前有同学这么做，优点是饿了可以吃东西，缺点是累了不能睡觉。 3.咖啡馆 某船长的那点破事反正大家都知道，但是如果单纯按照刷夜来算的话，实际上算是个不错的去处。 4.宾馆 没错，实际上在我安起义之前，宿舍没有空调，大夏天室♂友一起去宾馆是常有的事，如果是多人组团刷夜的话，这是个不错的选择，价格平摊的话实际上也可以接受。 大约这些，想到别的再回来补。
安大还是南农？,( ̀⌄ ́)学妹你好  我本人是安徽大学的一名在读本科生，不知道你说的你能上我们安徽大学的最好的专业指的是哪个专业呢？ 英语？会计？金融？还是计算机？ 其实按照你的情况来看，你的分数能上个不错的211或者是个差点的985，主要还是要看你想学什么专业吧…… 我之前填报志愿的时候，也考虑过南农，原因有几条 1.我就是合肥人，想去外地读书 2.就觉得安大马马虎虎 不过后来还是没有填报南农，还是觉得不是我喜欢的那种方向吧，如果你想学习一些农林方面的专业，当然去南农不错，如果是一些比较热门的专业，来安大也是个不错的选择，毕竟是211，而且学校的环境也挺好的 最重要的是！俺们学校食堂装修的可好看啦！ 放图时间到  ______________________传说中的分割线  西门附近的大柱子   图书馆(文典阁)     桂圆食堂       宽敞的校园大道    图书馆后门  如果有想询问的具体问题，可以继续问我哦
如何评价安大有戏这个公益组织？, 安大有戏最为人所知的应该就是各类攻略的发布与推广了，安大有戏做的很多攻略受到了很多人的好评。尤其是新生攻略和选课攻略极大地解决了很多人的问题，正是抓住了需求的痛点，再加上热情和专业技能，做出来的攻略确实诚意满满。   安大有戏是什么？   安大有戏是安徽大学学生自发的公益团队，致力于做有观点、有态度、高逼格的分享型公益。我们于2015年7月20日正式与大家见面，团队目前已有25名成员，来自安徽大学不同院系。安大有戏团队通过调查分析、攻略整理、信息传递、资源分享等方式为同学们奉献自己的微薄之力。    但是很多人问，安大有戏到底是什么？我会告诉他们，安大有戏是一个为大家提供信息的公益平台。公益，不在大小，在的是真诚的心意和切切实实的帮助。 公益，解决的就是公共利益问题，如果只有捐款捐物是公益，那这个世界不是太庸俗了吗。   大学生有自己能做的事情，发现了大家在信息方面的需求，就一股脑地做了起来，就是这样而已。   当然了，很多人还不太了解安大有戏，来看看安大有戏实际上到底做了什么吧。  1大事件 2015/7/20 安大有戏正式上线 2015/8/16 与©「安徽大学团委」共建的2015级新生微网站上线 2015/8/19 作为组织账号入驻©「口袋小安」，并在此后建立长期合作关系 2015/8/28 与©「安徽大学经济学院」共同制作《新生攻略》纸质版，共计4500份，在报到时发放，基本实现全校新生人手一份 2015/9/24安大有戏线下首个活动——分享家正式启动 2015/10/7安徽大学空教室查询功能上线。 2015/12/2安大有戏被邀请开通原创保护功能 2015/12/15安大助手功能重磅上线2攻略 2015/7/23 推出《新生攻略》，一夜之间占领全校各新生群、15级各院系群、各班班群 2015/7/26 推出《台湾攻略》，受到交换生的一致好评 2015/7/28 推出《社团攻略》，含有五大类社团，由安大有戏成员联系各社团整理所得，各社团简介和照片均为各社团独立提供 2015/8/1 推出《暑假健康生活指南》 2015/8/9 推出《入学攻略》，含报到攻略和军训攻略 2015/8/14 推出《选课攻略》，是安大有戏联系全校430位同学后，由这些同学独立写出的评价汇总，涵盖全校大部分公选课，共计12万4千字 2015/10/30推出《形式与政策课使用指南》 2015/11/25推出《旅游攻略》，从北至南，篇篇走心 2016/2/7推出《选课攻略2.0》，全新升级素质课与跨专业课程   安大有戏以新媒体运营和信息采编见长，为大家提供信息服务是安大有戏的目的也是动力，不断扩充着队伍，不断扩大着影响力，不断为大家提供更多力所能及的帮助，这就是组织发展的未来。  恩，是的，利益相关。欢迎关注安大有戏。  
如何考上安大，？,本人安大16级学生。 安徽大学外语系以前是最好的专业之一，外交部每年直接从里面遴选出两个人。近些年略显没落，但在全国的排名也很靠前。 我是文科生，不清楚理科的情况。我高考时候561分，超出一本线四十分，刚到提档线，全省文科三千六百多名。如果你想上英语学的话，应该要到全省文科两千名左右，甚至更高。 另外可否告知你预期的分数？如果详细些更好，我好为你做个简单的规划。
求推荐安大经济学院学硕803西方经济学考试教材？, 泻药。高鸿业教授主编的《西方经济学》，具体是第四版还是第五版忘了，再加上一本圣才考研网推出的课后习题解析，如果有多余精力的话看看曼昆的《经济学原理》也可以。不过我认为安大经济学院考研专业课还是挺简单的，都是基础知识，没有太怪异的题目，把《西方经济学》多看几遍，最好能下载到真题补充，考研论坛上都会有的。 
中科大对合肥有何带动作用？把资源让给合工大安大是否会更有利？, 肯定会的，据说安大老校区对面科大的那块地原本是给安大的，后来安大只能在郊区了 
中科大和安大新闻与传播硕士那个更好？,一般没人问你哪个专业出来的，而是问你哪个学校出来的，所以处于职场考量，科大的牌子更响。
报考安大文典or留在网络与新媒体？,谢邀，文典学院出国深造机会更多，网媒更好就业。我个人看法是看你自己的打算和家庭情况，想继续深造就读文典学院，偏向于毕业就职就去网媒。当然并不是说网媒就不能保研考研，事实上这几年安大新传发展很快，国内小有名气，13级已经有两个被人大夏令营确定录取研究生了。文典学院是学校花大钱出大力想搞的精品，至少这几年学校扶持力度挺大的，机会很多。大概就是这样，有什么遗漏的想起再来。
为什么安大附近的美林美妆东西那么便宜？,所有美林美妆店都比较便宜，会员价和正常价相差太多了况且会员是非常好办理的，彩妆护肤之类的不要在那里买大多是假的我经常去淘他们的纸巾质量还行价格也优惠。
怎样拿到安大自考法律本科学位，要注意什么？,   自考本科学士学位    要满足一下条件才可以获取。  　1.平时成绩平均分不低于65-72分。  　2.毕业论文良或优。  　3.通过国家统一组织的学位英语考试。     4.自学考试的学士学位可在毕业后一年内申请。 
