question,answer
清华北大有考试作弊现象吗？,非常惭愧，我的答案和底下人一样：有。 但是这个期末感触很深的，是我系教授处理作弊的方式。  01、  考古代文学史的时候，教授爷爷走进来，突然在黑板上誊了两黑板的文言文。 我们都聚精会神地盯着，以为这是考题的阅读材料。 等他慢慢抄完，教授爷爷转过身，拿着考卷第一页的【考场条例】对我们叹气：“我觉得在北大，读考场规则，是件很不体面的事啊。但是教务又一定要我读，这让我很为难。” 于是他指了指黑板上的古文，对我们说：“姑且用这些来代替吧。”  当时在考场，没有带手机，无法拍照。 凭借记忆只能记得其中最短的一段。   “所谓诚其意者，毋自欺也。”——《礼记·大学》     02、  我们系有个非常魏晋风度的教授，讲课潇洒脱离教材，从不考勤查到，一大半的课程用于学生presentation，坊间流传他论文评分都是用吹风机吹的。 出名的随和，出名的水课。  由于那段时间忙着赶稿，不想被选上做pre，交提纲的时候我特地敷衍地交了100字，心想总不会中奖了吧。 结果……还是中奖了。  我一直都以为一定是他家的吹风机跟我有缘……  直到期末。这门课没有考试，只有期末论文。 出了一个还不错的分之后，我就没再关注这门课。 突然有一天，我收到了这么一封邮件（方便阅读有删减）：   …… 本门课近20位同学涉嫌抄袭。我根据调查，对情况严重的15份作业给予0分处理。目前好几位同学跟我联系。兹将情况说明如下： 1、我的课程，所有作业都由我亲自批改，助教同学不参与此项工作。 2、前半学期大家提交提纲时，我已经发现有些文字不正常，在课堂上，两三次提醒，既往不咎，可以撤回文件，此後绝不允许。 3、我给分数并不吝啬……但抄袭触及底线。 4、如果有同学对我的处理有异议，请在下学期开学时，循学校的救助机制，通过教务系统，向系里及校方进行投诉。  此颂诸位新春佳吉。   XX拜   这门课一共100左右的选课同学，竟然有五分之一的同学作弊。实令我震惊。 终于明白为什么100字的提纲也能被选上了……至少那100字是我自己搭的框架。  我知道很多老师，看出你是抄袭，会睁一只眼闭一只眼。 然而这位教授平时总带着乐呵呵的笑容，经典语录是： “这是一间80人教室。我的选课名单上有一百多位同学。教务问我座位够不够？我说够了够了。”  曾有一个学期答疑，有同学咨询他期末考试注意要点。他沉吟三秒，摸了摸桌子，说：“这个桌子写起来有点滑啊，你们带本本子垫一垫。”  严厉起来，却给十几个零分不含糊。  其实他虽然不点名，上课也大部分时间是学生在pre，但我曾经在上讲台时，看见他把所有学生的提纲打印装订成厚厚一本书，空白处写满了批注和评语。学生讲10分钟，他评议半小时，其中细小的点他都会仔细听出来，纠错或补充。  一直觉得他的作风有点像老派的师徒模式。 愿不愿意学是你的事，只要愿意学的我都会倾力教。  但是所谓诚其意者，毋自欺也。    03、  P大国文门历史很古老，声誉很高。其间难免会有不少教授，作风很老派。 譬如这学期某专业课教授，在学生间声名奇差。因为上课严格，给分苛刻，总板着一张脸。  他会在上课点一个学生起来分析一首杜诗，学生稍有偏差，他便摔书大喊：“你们都是中文系的败类！” 或抽一个学生理解文意，若支支吾吾，他就指着人家的鼻子说：“你，不及格！” 他的讲义，全是自己写的古文。所以复习的时候，首先你得看懂老师的文言文，再看懂老师举例的那些文言文。 他活在理想主义的世界里，讲经世致用，知行合一，大批现在的学生只知道混文凭，工作赚钱。  选他课的学生们都苦不堪言，每天都在担心被动挂科，还要被骂……以至于他的学生干脆都纷纷以“败类”自称，甚至有学生撰文批他满身迂腐文人气息。  然而有一件事，他极其地宽松。 那就是他的论文，可以一拖再拖，一拖再拖，一拖再拖……完全没有死线。 因为他说，他宁愿我们交得晚一点，字数少一点，也不想看见任何一篇抄袭前人观点的文章。 就连同学假用其他课程的论文充数，都被他揪出来大批特批。  你可以浅陋无知，但不能抄袭作弊，滥竽充数。   一学期被虐过来，才知道这位教授出自农村。他接济乡民，奔走筹资为乡村修路。 交完期末作业才看见他一学期以来第一个笑脸，说他每一篇论文都会认真批改，下学期一一返稿与学生讨论。 忽然有点了解“经世致用，知行合一”这八个字。  04、  老师是各异的，学生也都不同。 清北终究是浮名。甚至我常以为，连浮名都受之有愧。  千奇百怪的教授活在社会新闻和娱乐新闻里。 但是身边的这些教授，让人觉得好像活在一个世外桃源里。 让我觉得很惭愧。 需要十分努力，才能配得上做他们的学生。  而作弊，谈这个真是，太不体面了。     ————————我是团团今天很方的分割线————————  这么快破千赞始料未及，被同学们转去票圈也是没有一点点防备……  其中有些是亲身经历，有些是传闻，也许有谬。 望诸师及牵涉到的同学们恕我妄议。
北大光华在北大校内是怎样的存在？,【图和文都禁止转载，为了给盗图者增加麻烦所以加了大大的水印，大家凑合看吧_(:3」∠)_】    有钱有钱有钱  重要的事情说三遍。  自习室和教室的椅子真的软到爆好么！！！！对比之下一教二教理教【尤其是2016年夏天理教的空调坏了一半，要是老师和助教不知道可以换教室的话，我们就必须待在蒸笼里考（烤）两个小时】还是人呆的地方么！！！！三教由于个人空间稍微大一点暂且不做讨论。  下图为二教普通中教室，容纳人数150左右。  下图为光华老楼普通小教室，容纳人数50左右。每张桌子配两把椅子一个插座。【经各位提醒，插座并没有电:）欺骗我的感情】  下图为光华老楼普通小教室，容纳人数80左右。   厕所常年有纸！！！！！多么土豪！！！！！教学楼是一个厕所一卷纸，而且经常会没有纸【没错说的就是你，二教】然而光华楼是一个隔间一卷纸。 【假装我是厕所图。厕所怎么照都好恶心，大家自己脑补吧。】  光华这两年在一层开了个院史馆，你们以为是普普通通一堆照片和文字吗？naive！人家把院史馆搞成了咖啡厅【笑。价格一般，味道一般，就是沙发真的好舒服。    最后，如果你在北大，强烈建议你去光华老楼202感受一下。相信我，你的人生从此再也没有别的教室了。  【假装这里有图。哪天想起来了再补。】   曾经沧海难为水，除却巫山不是云。     【东北角挨着校医院的光华新楼比老楼还要土豪，跟500强办公大楼似的。不过本科生很少去那边，一般都在老楼上课。老楼的条件已经秒杀一众教学楼了。】
你身边考上北大、清华的人有哪些特质？,2016/10/29 有人赞了我就多说几句：  题主的题目是考上清华北大的人有哪些特质， 既然问“考上”，那就谈点 清北同学学习方面 的特质吧，最后做一个整体感受的高能总结。   很多人学生时代都会有这样一种疑问：同样是学习考试，为什么有些人花费时间较少，看起来并不怎么费力却总是能考高分，而我十分努力却在考试上一再失利呢？下面就讲讲这个问题：  首先假设大家都经过了一段时间的努力（3个月或是半年），那么现在期末考试到了，影响成绩好坏的因素有哪些呢？个人认为主要有以下几点：    过往基础   智商   学习环境   学习方法   集中注意力的能力   长时间做一件事的能力   应试能力   心态   运气    其中3-6点其实可以用一个学习效率去形容，由于感觉学习效率这个词太笼统，所以就分成几个小块了。下面逐一讲一下：   1.过往基础   说到学习，不谈过去基础其实就是耍流氓。如果过去基础相差较大，就算你在一段时间内学习水平突飞猛进，可能最终还是无法比过往基础好的同学高，这点相信大家很好理解，参考下图（画的有点拙劣- -）：   现如今教育资源的垄断使得超级中学的资源远大于普通中学。能够招收某个地区最好的学生，意味着这部分学生从高中开始早就领先别人n个身位了，何况超级中学还有更好的师资以及学习环境。这也就是为什么超级中学清北几十甚至上百，而普通高中却凤毛麟角。    目前看，清北的大部分学生（1/2以上）都来各省的自超级中学（未来这一比例将会持续上升），可以说这场博弈从初中甚至从小学就开始了，日积月累的差距，形成了一道鸿沟。    2.智商   智商在学习上面不可谓不重要，大家是否周围都有这样的一个同学：从来不看书，也不听课，甚至不写作业，成绩却很好。如果他不是炒鸡心机婊，那么他肯定起码是个聪明人，或者天赋较好。什么是天赋好？就是有些人用一个小时背书还背不会，他看五分钟就滚瓜烂熟了，老师讲了好几遍的题有些人总不会，他却分分钟理解，甚至找到更好的方法。   老实说，清北里有很多天赋过人的人，很多人对于感觉高中的内容从来没遇到过任何困难，玩着玩着就上来了。这种人大概有1/3吧。当然，  智商这个东西重要，也不能看的太重要，毕竟总有比你聪明的。比如来到清华以后就发现，聪明人实在太多。清华里还是不乏有很多依靠效率高、条理性强的学习方法以及苦心孤诣的努力考上来的同学，并且这部分同学很多在大学依然优秀，我一直相信习惯与方法的力量甚至强于智商。     PS：据  说清华同学智商平均值在127，不知道真实与否，大家可以衡量一下。因为这是一个平均数，考虑到大神智商爆表，所以基本115以上的智商冲击清北是没有问题的。     3.学习环境   之前的东西负能量有点多，毕竟智商与基础是我们在当下这个时间节点所无法改变的。其实还有很多东西比之前两点更重要，一言以蔽之就是学习效率。学习效率可以进一步拆分，第一点就是学习环境。    学习环境可以分为学校和家庭的环境。    从学校层面讲，通常来说超级中学的学习环境与氛围强于普通中学，其一因为不学习混日子的人少，学习的人多，就构造出了一个良好的价值观体系。大家以学习好为荣，而不是以打游戏好或是谈恋爱多为荣，这在高中极为重要。其二·，由于周围强手如云，老师能力拔群，一旦你哪天悔悟开始努力，会有很多可效仿的对象，也可以向这些人咨询迅速提高。   从家庭层面讲，清华来自所谓中产阶级（父母为大学教授或中学老师、公务员家庭、国企中高层）的孩子非常多，也不乏各种干部子弟。这种家庭十分重视对子女的培养，其中更不乏当初就是  父母  以教育改变命运，通过考学获得了较高的社会地位，自然对于下一代的学习更为关心。    其他清华同学就算不是出自这样的家庭，起码也拥有一种较为稳定与安静和谐的家庭结构与氛围，很少见那种父母常年奔波在外或是整天吵架大打出手，子女还能毅然决然考上清北的，也许有，但是从清北接触的样本来看，属于少数。    4.学习方法    都说学习方法重要，学习方法重要到什么程度？我们当年的理科状元是个女生，从来不熬夜，10点半准时睡觉。而这在状元里似乎还不是一个个例。 这些人通常学习十分高效，有的放矢。由于学习极有条理性，用一份功便有一份收货且不易遗忘，形成了一种良好的知识结构。     清北里就有很多这样的人，他们学习是提纲挈领，全局把控的学，讲求理解与总结，而不是填鸭与死记硬背。所以他们看一遍是十遍的功效，做一题是十题的收获。而很多人则恰好相反，  看十遍是一遍的功效，做十题是一题的收获。  很多同学应该扪心自问，一个晚上都趴在在台灯前，甚至学到深夜，但是是否将无用的东西反复学习，却没有多思考一点从而能够举一反三？错过的题是否认真总结，发现自己薄弱的环节从而多加攻克？是否能从一个知识点联想到另一个知识点从而形成一张全面的网络？    5&amp;6.集中注意力的与长时间做一件事的能力     我一直觉得，能够迅速进入学习状态，与长时间学习刷题本身就是一种个人天赋。     举个学习时间的例子，认识某国赛银牌，可以从早到晚刷一天偏微分的题。试问一般人能受得了吗？脑子不觉得会爆炸吗？不想看一眼手机吗？ 这就跟足球比赛一样，有些人就是伤停补时还能带球如风，有些人半场就气喘吁吁了。 这方面天赋是一回事，锻炼才是要义，身体是耐操的，大部分人并没有开发出潜能。   至于学习状态就好比睡眠质量，有些人一下就能进入深度睡眠，5、6个小时就完成了休息。有些人睡眠质量不高，睡了10个小时还是感觉昏昏沉沉。 清华的同学是很喜欢出去自习的。为什么不在   宿舍而要去自习室图书馆呢？恰恰是  因为那里没有噪音，没有那么多个人琐物，没人跟你说话，可以拥有良好的学习状态。    7.应试能力   最后说说应试，我感觉很多人都对题海战术叫苦不迭吧， 但如果真正看过清北的学霸刷题，就知道你那一点量实在是naive。 应试能力一般就是速度和准确度，这些都是通过刷题可以训练的。试问为什么大学里的江苏浙江同学应试能力极强？其实就是高中训练的多。 从这点来说，高密度的学习与突击能力恐怕是区分清北与普通一本学生的最好方法。   ########  总结一下：  ########  我认为清北同学的特质有以下几点：  1.认可学习，认真对待考试。  就算是在清北，每个人天赋也有高低之分，也有努力程度不同之分，然而不管大家水平如何，凡是到考试前大家都会认真复习一遍，刷刷提答答疑，问问同学，争取考前磨枪又快又光。其是这是一种效率行为的体现，因为这时候的复习与总结对于成绩提高的帮助是最大的。这种认可学习与考试的态度实际上也是一种昂扬向上的价值观。  2.自信，认为自己是最优秀  很多清北同学都极其自信甚至自负（虽然大学里用装弱行为掩盖了）。自己总在和其他同学，和自己暗暗较劲，都觉得自己能考最好能做最好，就是废寝忘食拼了命也要达到这个目标。这就是所谓背水一战、破釜沉舟。如果大家都有这个精神，往往能创造出不一样的奇迹。  3.精益求精，追求完美  清北同学对自己是高要求的，刷题就要都刷对，决定做的事就要做到最好（清华同学尤其明显）。其是想一想吧，在高考的环境下，有时候就是差了那一道选择题，背后不就是由这种孜孜以求的东西么所决定的么。  4.讲求效率，目标明确，有规划  很多清北同学虽然看上去学习上投入不多，却极有效率，并有着清晰的目标。通常来说，在给自己定一个目标之后，先相信自己能实现，之后便收集信息，判断达到这个目标所需做的准备。然后给自己制定一个计划，最后逐步完成这些准备。  ######## ---------------------------------------------------------------------------------------------------------------------------------  根据我的观察清华里以下几种人：  A：平时认真，从不松懈，每个题都想探寻究竟，自习早出晚归，最后考试90-100分。 B：平时跟上，偶尔自习，期末磨枪突击，不放过每个知识点，刷一遍题，最后考试85-95分。 C：平时有时间就玩，作业抄一抄改一改就交了，临考3天甚至只剩一晚上才开始突击，最后考试75-85分。 D：平时在玩游戏，考前还在玩游戏，考试挂科或100分。   A类同学具有强大自控力，可以每天早上7点出门吃饭自习，晚上10点回寝室，滴水不漏，无懈可击。最可贵的是365天无差别执行，而非三天打鱼两天晒网。 这类人若还有良好天赋将极为强大，比如韩神。  B类同学是大部分清华同学的形象，目标明确，做事条理，分清主次。该用功绝不含糊，同时也注重劳逸结合。平时上课跟上，保证听懂，作业自己完成有个印象。考试之前好好复习两三个星期，最后分数也不低。  C类同学属于部分保送党竞赛党，天赋有余，玩性偏强，但是尚有学习考试的热情。在最后还是会拼命看书复习的，好在人聪明一般也能掌握大部分，考个中等分数没问题。  D类同学则要不属于天才要不属于完全放弃自我的天才。
北大的同学凌晨四点半真的在看书吗？,不多，但是有。  所谓女人是一本书。。。
努力就可以上清华北大吗？如果可以，怎样做？,  本文禁止无授权转载（虽然已经被盗用的不要不要的了= =）    进清华以后第一节社会学概论课上，老师让我们每个人填了一张问卷。 上面有两个问题是：“你父母亲的职业？”和“你上大学以前到过最远的地方是哪里？” 问卷收上去以后，老师对我们说：“在座的各位能考上清华，很大一部分原因在于你们的父母。” 他接着说：“你的家庭背景决定了你能接触到资源的多少，决定了你的学习环境，决定了你上的小学、初中、高中，也决定了你的眼界和见识。你能来到清华，不仅仅是因为你努力，更是因为你有了上述这些东西。”  上上周的社会学课上老师公布了开学第一天做的问卷的结果。 老师说：“我每年在清华上课都会让学生做这个问卷，每到一个大学讲课也会让那里的同学做一份。” 结果是什么样的呢？（不知道这个ppt的图能不能放出来不能我就删了…）  这是我们班的统计结果，社会经济地位是根据一套职业评分表来换算的。 有知友表示没看懂这个图，解释一下。 纵坐标是对根据职业做出的社会经济地位的评分，评分越高的职业社会经济地位越高，比如政府官员银行家商人等。最底下的0-19代表无业（有可能是家庭妇女也有可能是下岗，比较特殊可以不纳入考虑范围），30以下基本是农民，30是工人。 横坐标是占总人口的百分比，左边红色是全国的分布，右边蓝色是清华大学某个班的分布。  简单来说，这张图是清华学生父母的社会经济地位的构成和全国的构成的对比，可以明显看出清华学生里社会经济地位高的家庭占比更高，社会经济地位低的家庭占比较低。     然后这是和另一所西部211大学的比较（和清华是对口支援关系）（大家忽略掉电视剧电影那个……）重点在于“入学前活动半径”。 有知友说和这所西部大学比较太偏颇了。其实只是因为老师正好去那里讲过课……用这个做比较也能更明显地反映差别。 不过还是补充一个老师也发过问卷的学校，中国政法大学，上大学前出过国的人数占比大概是清华和西部大学的中间值。 还有一些内容没有照下来，就简述一下。  “入学前活动半径”这一项的统计数据非常稳定。 在社科学院，上大学以前到过境外的人13年入学和14年入学的都是40%左右； 而经管学院13年和14年的数据也是40%左右，过去的调查结果也是类似的数据。 和第一张图反映的一样，相对于全国而言，清华大学里家境中等和偏上的学生更多，并且这一现象多年来一直持续。  这个问卷调查的样本比较小，也不是很全面，但是还是可以说明一些问题。 【感谢学长  @笛在月明楼  的补充： 那份调查表并非只有每年社科+经管不足200人的样本量的，老师带的学生团队在2010年前后在校内做过大规模的调研。 】 下周上课如果我没有被社会学自传忙成狗的话一定去问一下老师。  上述结果并不是说清华学生都是凭家里关系走后门进来的，而是说明一个人的家庭环境会对ta产生非常大的影响，决定你来到清华北大的不仅是自己的努力，还有你的家庭环境，包括你父母的教育理念，愿意及能够为教育付出的时间金钱，你的眼界和视野，你能接触到的一些资源和机会…… 这也说明了目前中国社会流动性还不够强。（当然很多西方国家也是类似的情况。）  所以，回答题主的问题： 并不是努力就能上清华北大的。短期来看有运气的影响因素，长期来看有家庭环境的影响。   评论里奇怪的内容太多，多说几句废话：  答主的观点并不是“家里有钱就能上清华北大”，我认为在求学的过程中，个人努力和家庭环境是两个互补的因素，父母的社会资本文化资本经济资本越多，你需要付出的努力就会相应减少（当然实际付出的努力因人而异）。反之亦然。   那么就必然存在一种极端情况：因为资源实在太少，即使再怎么努力，也没有机会上清华北大。   当然大多数情况是：农村孩子和城里孩子一样努力，外地孩子和北京孩子一样努力，后者上了但前者没上。   并不是努力【就】可以上清北。   （个人认为智商因素对本科求学的影响不大，不作讨论。清华北大智商高的大神当然有，但大部分学生都是勤奋的普通人罢了。）   无论如何，不要把智商和家庭环境当作不努力的借口。（这句话好土，但是我还是要说）    即使在上了清华的学生里，每个人为了上清华付出的努力程度也是不一样的。   努力不一定成功不努力一定不成功的大道理大家都懂。个人认为，清华的学生大部分都比中国大部分的学生要努力得多，只是多得程度不同罢了。  再加几句题外话好了：  第一节课下课的时候，老师对我们说：  “我希望大家知道，你们能坐在这里上课是非常幸运的，中国还有很多人和你们同样努力，却没有办法来到清华。所以如果你们以后学习社会学，我希望你们能用在这里学到的知识，去思考这个社会，去让它变得更好。”   最后是老师每次上第一节社会学课都会引用的一句话，感觉也挺适合知乎的：  我力求客观，但绝不冷漠。 I have tried to be objective. I do not claim to be detached. ——C. Wright Mills   答主去上下午的社会学课啦～ —————————————————————————————————— 首先感谢大家的点赞和关注，答主只是清华一名普通的大一学生，才疏学浅，没怎么在知乎回答过问题，有说的不全面的地方还望见谅。   统一回答一下评论里的一些问题：  1.关于这个问卷调查的问题我下面已经说过了，这只是我们老师就上他的课的学生进行的一项调查，样本容量只有一百多人。很显然没有考虑到诸多因素，样本太少也不全面。但是也能反映出来一些现象，相信也能够回答题主的问题。如果有知友能给出更科学的调查和数据当然是最好的，所以就不要再纠结这个啦。  2.询问入学前活动半径其实是在调查家庭经济状况，因为直接询问学生家庭收入并不是一个很好的调查方式。所以老师选择了这个问题，并不是在说出国出省和上什么大学存在直接联系。所以看到诸如“去过六个省，不是清华”的评论也是让我感到很莫名其妙。是否出国出省和家庭经济状况还是有很大相关的，我觉得这个应该挺好理解吧。  3.关于电视剧和电影的调查确实不太科学，问卷上让我们一人写了最喜欢的三个而不是勾选项。老师是用文化资本的观点分析的，一个人的生活环境会对ta的文化品位产生很大的影响，相对来说另一所大学的学生的喜好更倾向于受档期和流行的影响。当然这个样本非常小，不足以说明问题，如果样本更大的话应该会出现更有趣的结果吧。老师没有讲太多，如果有了解这方面的知友还请不吝赐教！  4.关于柱状图，刚刚咨询了助教，最底下的0-19代表无业（有可能是家庭妇女也有可能是下岗），30以下基本是农民，30是工人。  5.有知友希望我介绍一下老师，是一个毕业于隔壁的萌萌哒帅哥！个人非常喜欢他，有学者的高冷却又毫无戾气，开学第一节课跟我们说：“你们对于这个社会的认知，要么是全错，要么错了一大半。”当时大家都很不服气，结果后来上课的过程证明他确实是对的。  6.有好多人私信和评论问社会学问题的。先解释一下清华的专业设置，答主的专业是社会科学实验班，大一是通识教育，心理学社会学经济学政治学都要学，大二才分专业。现在才大一，所以本身对于社会学也了解不多，没办法回答很多知友的提问，不好意思。 看到大家说对社会学产生了兴趣，想要讲课的ppt和视频。不过按照学校规定ppt不能外传，视频也没有，老师也没有开过公开课。所以只能列一下我们的教材和推荐书目，如果对社会学入门有兴趣的知友可以看看：）   参考教材： 吉登斯著，李康译:《社会学》，北京大学出版社2009年版。   补充阅读：	 Dalton Conley， 2001， Honky， New York: Vantage Books  Garth Massey ed.， 2006， Readings for Sociology， New York: W. W. Norton &amp; Company  Mills， Wright， “The Sociological Imagination，”  做读书报告的时候老师推荐了五本书：  《发条橙》、《华氏451》、《活着》、《杀死一只知更鸟》、《银河系搭车客指南》   7.大家都对第5点最后那句话很感兴趣啊，举个例子好了。 有一节课上老师问我们：“晋升快的部队和晋升慢的部队，哪个部队的士兵会觉得晋升体系更加公平？” 大部分同学都想当然地觉得晋升快的士兵对升迁体系更加满意，但是现实截然相反。 二战期间，Stouffer在美国陆军的社会研究部负责调查影响士气的因素，根据他的调查，晋升慢的宪兵部队士气更高涨，对部队更加满意。宪兵部队中，几乎很少升迁，士兵很难发现不如自己的人得到升迁的例子，于是觉得还算公平。陆航部队中，升迁大量存在，飞行员很容易发现许多不如自己的飞行员得到了升迁，于是觉得不满。 其实就是相对剥夺的原理。 这样的例子发生在几乎每节课的课堂上，很多时候我们以为理所当然的东西，社会学的研究却得出了截然相反的结果。 老师的那句话肯定是过于绝对，但是他想传达的意思其实是： 你们对这个社会还知之甚少，需要学习的还有很多很多。学习社会学、做调查研究的时候一定不能抱着先入为主和理所当然的观念。  （不觉得拽拽的萌萌的吗！）  最后！吐槽快乐大本营的！清华学生也是普通人好嘛！bigger是什么可以吃吗？ 那些凭喜好和品位去judge别人，妄图从“看快乐大本营“这点开嘲讽的人，实在太不可爱了。
收到清华北大的录取通知书是一种怎样的感受？,我妈当时说，考上北大，打游戏不限时间。后来我保送了北大。  我妈说，这不算考上，得高考过北大投档线才算。我觉得我妈骗我，但那时比较乖，就信了，认真又准备了高考(考多少分都能上)。模拟考第一次全级187名，第二次30多。学校好，基本考到年级40名以内就能上北大线。  结果我妈说，要标准分800(相当于全省150名)，才能打游戏不限时间。我当时就跪了。   高考完电话查分时，我激动得跳了起来，我妈听了三遍，才信，标准分800整，一分不多，一分不少。。。 于是妈妈告诉我说，等录取通知书来了，让我打一暑假游戏。   等北大录取通知书是我生命中最煎熬的时光，拿到通知书的那一时刻，我为我第一次能像在网吧一样的心态在家打游戏而激动万分。我拿到录取通知书后，第一件事就是交给我妈。她当时好像拿着过塑去了，我满脑子想的是英三开个大地图打tm一整天(对，我就这点追求)。   这是我最快乐的一个暑假，我完成了我读书以来的未完成的几大梦想。包括不睡觉的情形下一气完成一张xl英三地图，要挖奇迹。最变态的方式通关炎龙骑士团二和三国群英传。完美通关mm6，还有天翔记姊小路自虐流通关。如此等等。  为了北大录取通知书带给我整整80天的快乐时光，我下定决心，一定要为北大增光添彩，永远不能给北大脸上抹屎。我毕业以来的多次为(zhao)梦(bu)想(dao)创(gong)业(zuo)，都是为了报答这份通知书带给我的恩情。  ___________update____________  别乱猜了，我广东的。华附，00高考。
北大学子为何不当场对龙江豪采用暴力？, 也不全是因为怂，你武功再高，也架不住朝廷拉偏架啊。 我校之前有人因为仗义出手和神族打架，出手教训喧哗的棒子留学生，结果反而被学校处分，开除。国内各大高校发生这种事情，基本汉人学生是最吃亏的，轻则处分，重则退学。  大家都是普通人，不是所有的清北学生都是权贵子弟，寒窗十年辛辛苦苦考上了北大，还挣扎在奋斗买房提升阶级的第一线。就这样开除学籍高中学历从头再来，这成本也太高了。  换这件事，要是真有学生出手打了他，你猜北大那群官僚会怎么处理? 会发个大锦旗表彰见义勇为然后像某校长说的那样法律系出来帮忙辩护?  扯淡吧，按照北大官僚系统的尿性，妥妥的开除，档案留下案底，然后还要被出卖学生信息背上刑事诉讼.....    “你是北大人，看到老人摔倒了你就去扶。他要是讹你，北大法律系给你提供法律援助，要是败诉了，北大替你赔偿。”  某人信誓旦旦的誓言在前，怎么看怎么讽刺 
在北大清华和其他顶尖 985 院校，到底存在不存在智商被碾压这回事？,你！们！去！百！度！一！下！排！名！前！几！位！的！答！主！！                                                                                                                                                                                           .      好多赞....好惶恐.....  下面是这个题目下答题的几位大神，，随手找了几个 排名第一的王立乐，被保送进的清华   王力乐_百度百科    陈立杰 高三时就收到了Google的offer。。Orz   WJMZBMR_百度百科    孙志超 14岁进北大   孙志超：14岁考入北大后的起伏人生    李博海 中学物理竞赛一等奖，保送清华，链接没找到。。  我也已经长跪不起了。。
清华北大的跨校情侣是一种怎样的体验？,思考一番，不匿了。 作为一个住所离两校距离均不到2km的人，两边早就跑烂了，几乎所有的地方小时候父上母上都带着去过…不过在自己来到清华，并成功的拐走了一个除了眼光不好，其余都很完美的北大妹子之后，体验如下： 1、不怪清华同学黑北大食堂不好吃… 2、不怪北大同学黑清华基佬多… 3、不怪清华同学黑北大校园小… 4、不怪北大同学黑清华呆萌理工男多… 5、原来清华的校园卡真的可以进北大～嗷嗷～ 6、明明是隔壁…距离却远得像异地…以我丧心病狂的骑车速度往返还得半小时… 7、北大的新生舞会很奇怪…现场教动作…教完差不多就散场了… 8、小时候觉得未名湖不好看，博雅塔不好看，现在觉得她们蠢萌蠢萌的宿舍楼都显得特有意境～ 9、TP-LINK这名字谁想出来的，你出来，我们谈谈。 10、听见别人黑隔壁会觉得不舒服… （；￣ェ￣） 11、每次得知她们的什么活动需要拿学生卡领票，一人限一票时就想骂娘。 12、有次节假日要进去找她，不知道为什么那天门口保安看到清华学生卡不让进，问我进去干什么，答曰：“接女朋友。”保安：“进。” 13、每次从清华骑车去北大接她都希望这段路再短点，每次从清华骑车送她回北大都希望这段路再长点。 14、每次送她回去都在她宿舍楼下吻别，什么大半夜吻到几乎窒息也不是没有过…于是常常回清华一路都感觉自己浑身轻飘飘的～（捂脸…熟人轻喷～）    我这个吧，手机码字，不知道怎么分割～就当这玩意是分割线好了～如果分割的不好，你来打我啊～    7.15更新，我突然想起了一些别的部分～于是做一些补充～可能不那么有趣，各位不要苛求，我就是想起啥写啥，别在意哈～ 15、放假时间简直哔了狗…请让我这样形容：北大：“没有放不了，只有想不到的假。”清华：“虽然我们放假晚，但是我们开学早啊。” 16、两边的课表很难达成统一…因为两边选课的时间不一样…这意味着什么统一课表然后空闲时间都可以出去浪这样的同系情侣设定我们没法享受… 17、北大的教学区好近～教学楼间步行仅需5min以内～然而清华…我大一上有两门时间挨着的课地点距离为2km，注意哦，直线距离。课间15min，第一门课老师喜拖堂。什么都别说了，别问我为什么第二门课最后考砸了。 18、仍是新生舞会，我按照清华的传统，买了一捧玫瑰，单手骑着车半死不活来到北大（不要问我为什么那晚发型如此飘逸，去问北京混合着pm2.5与沙尘的秋风。）然后发现…  北大新生舞会现场发单枝玫瑰啊…现场发啊…极少有男生主动买啊…我一个人拿着一大捧玫瑰就像个傻*，但她拿着的时候真心美呆了。在这里，我诚恳，严肃的感谢一下北大的男同胞那天给了我一个讨好女神的机会。（当时还没在一起）  下面开启无脑秀恩爱模式。慎看。  19、北大的双人椅大多面向景色背对行人，情侣坐在那里时会觉得“好像”没有人看到，于是肆无忌惮…我第一次陪她溜达未名湖时着实被秀一脸。后来，正直如我，自然加入了他们的行列。 20、最后，很荣幸，由于两校传统不同，在你们的新生舞会成为了第一个送花给你的人，我愿意一直送，送到腻也不停。
被北大和清华争着录取是怎样的体验？,泻药。  当时我想去北大，于是就对外声称要去清华。  这就急坏了北大的招生办，马上联系我和父母，给出了非常多的优厚条件。  于是我就很“不情愿”“勉为其难”“盛情难却”“无可奈何”地来到了北大。
